class,page,confidence,why
unreadable,MIB-000014_p1,,OCR recovered 13 body chars
unreadable,MIB-000018_p2,,OCR recovered 7 body chars
unreadable,MIB-000019_p3,,OCR recovered 23 body chars
unreadable,MIB-000022_p4,,OCR recovered 0 body chars
unreadable,MIB-000023_p2,,OCR recovered 20 body chars
unreadable,MIB-000024_p2,,OCR recovered 0 body chars
unreadable,MIB-000025_p2,,OCR recovered 0 body chars
unreadable,MIB-000025_p5,,OCR recovered 0 body chars
unreadable,MIB-000028_p2,,OCR recovered 3 body chars
unreadable,MIB-000030_p2,,OCR recovered 0 body chars
unreadable,MIB-000030_p4,,OCR recovered 3 body chars
unreadable,MIB-000034_p1,,OCR recovered 4 body chars
unreadable,MIB-000035_p5,,OCR recovered 23 body chars
unreadable,MIB-000038_p1,,OCR recovered 0 body chars
unreadable,MIB-000039_p2,,OCR recovered 23 body chars
unreadable,MIB-000045_p1,,OCR recovered 16 body chars
unreadable,MIB-000046_p1,,OCR recovered 0 body chars
unreadable,MIB-000046_p6,,OCR recovered 17 body chars
unreadable,MIB-000049_p3,,OCR recovered 0 body chars
unreadable,MIB-000051_p4,,OCR recovered 24 body chars
unreadable,MIB-000055_p2,,OCR recovered 20 body chars
unreadable,MIB-000059_p2,,OCR recovered 0 body chars
unreadable,MIB-000061_p1,,OCR recovered 2 body chars
